resp_ID,t_start,t_end,Status,p_ID,unique_qu_ID,erase,condition,exposure,room,view_access,exp_duration_original,exp_duration,light_level_sensation,visual_comfort,glare_Osterhaus,glare_binary,glare_branch_accept,glare_likert4,glare_reflection_screen_likert4,glare_agreement5,colors_outside_agreement5,view_satisfaction_interval10__5only,work_all_day_changes__30only,work_all_day_changes_WHAT,work_all_day_changes_WHY
10,18.05.21 13:50,18.05.21 14:00,Complete,301,301_NG_1_Clear_q1,keep,NG,Exposure 1,BP 2243 (end of the corridor),yes,About 5 minutes,05min,Just right,Comfortable,Noticeable,No,NA,Not at all,Not at all,Agree,Agree,7,NA,NA,NA
13,18.05.21 14:34,18.05.21 14:37,Complete,301,301_NG_1_Clear_q2,keep,NG,Exposure 1,BP 2243 (end of the corridor),yes,About 30 minutes,30min,Just right,Comfortable,Imperceptible,No,NA,Not at all,Not at all,Agree,Agree,NA,"No, I am comfortable and do not require changes",NA,NA
15,18.05.21 14:31,18.05.21 14:54,Complete,301,301_NG_2_Blurr_q1,keep,NG,Exposure 2,BP 2229 (center of the building),no,About 5 minutes,05min,Slightly low,Comfortable,Imperceptible,No,NA,Not at all,Not at all,Neither agree nor disagree,Neither agree nor disagree,3,NA,NA,NA
18,18.05.21 15:20,18.05.21 15:25,Complete,301,301_NG_2_Blurr_q2,keep,NG,Exposure 2,BP 2229 (center of the building),no,About 30 minutes,30min,Just right,Comfortable,Imperceptible,No,NA,Not at all,Not at all,Agree,Agree,NA,"No, I am comfortable and do not require changes",NA,NA
9,18.05.21 13:43,18.05.21 13:57,Complete,302,302_NG_1_Blurr_q1,keep,NG,Exposure 1,BP 2229 (center of the building),no,About 5 minutes,05min,Slightly high,Uncomfortable,Noticeable,Yes,Acceptable,Slightly,Moderately,Disagree,Agree,5,NA,NA,NA
11,18.05.21 14:19,18.05.21 14:27,Complete,302,302_NG_1_Blurr_q2,keep,NG,Exposure 1,BP 2229 (center of the building),no,About 30 minutes,30min,Just right,Uncomfortable,Noticeable,Yes,Acceptable,Slightly,Moderately,Neither agree nor disagree,Neither agree nor disagree,NA,"Yes, I would like the following changes:","I won't put the desk in front of the windows, there is too much light",There is too much light
14,18.05.21 14:40,18.05.21 14:52,Complete,302,302_NG_2_Clear_q1,keep,NG,Exposure 2,BP 2243 (end of the corridor),yes,About 5 minutes,05min,Just right,Comfortable,Imperceptible,No,NA,Not at all,Slightly,Neither agree nor disagree,Neither agree nor disagree,8,NA,NA,NA
16,18.05.21 15:10,18.05.21 15:15,Complete,302,302_NG_2_Clear_q2,keep,NG,Exposure 2,BP 2243 (end of the corridor),yes,About 30 minutes,30min,Just right,Comfortable,Imperceptible,No,NA,Not at all,Slightly,Neither agree nor disagree,Neither agree nor disagree,NA,"No, even though I am somewhat uncomfortable",NA,NA
19,18.05.21 17:17,18.05.21 17:21,Complete,303,303_NG_1_Clear_q1,keep,NG,Exposure 1,BP 2243 (end of the corridor),yes,About 5 minutes,05min,Just right,Comfortable,Imperceptible,No,NA,Not at all,Not at all,Agree,Agree,7,NA,NA,NA
20,18.05.21 17:42,18.05.21 17:49,Complete,303,303_NG_1_Clear_q2,keep,NG,Exposure 1,BP 2243 (end of the corridor),yes,About 30 minutes,30min,Just right,Comfortable,Imperceptible,No,NA,Not at all,Not at all,Agree,Agree,NA,I have no preference,NA,NA
21,18.05.21 17:35,18.05.21 18:04,Complete,303,303_NG_2_Blurr_q1,keep,NG,Exposure 2,BP 2229 (center of the building),no,About 5 minutes,05min,Just right,Comfortable,Imperceptible,No,NA,Not at all,Not at all,Agree,Agree,2,NA,NA,NA
23,18.05.21 18:23,18.05.21 18:30,Complete,303,303_NG_2_Blurr_q2,keep,NG,Exposure 2,BP 2229 (center of the building),no,About 30 minutes,30min,Just right,Comfortable,Imperceptible,No,NA,Not at all,Not at all,Agree,Neither agree nor disagree,NA,"No, I am comfortable and do not require changes",NA,NA
22,18.05.21 17:47,18.05.21 18:09,Complete,304,304_NG_1_Clear_q1,keep,NG,Exposure 1,BP 2243 (end of the corridor),yes,About 5 minutes,05min,Just right,Comfortable,Imperceptible,No,NA,Not at all,Not at all,Agree,Strongly agree,8,NA,NA,NA
24,18.05.21 18:11,18.05.21 18:39,Complete,304,304_NG_1_Clear_q2,keep,NG,Exposure 1,BP 2243 (end of the corridor),yes,About 30 minutes,30min,Just right,Comfortable,Imperceptible,No,NA,Not at all,Not at all,Agree,Agree,NA,"No, I am comfortable and do not require changes",NA,NA
25,18.05.21 18:54,18.05.21 18:57,Complete,304,304_NG_2_Blurr_q1,keep,NG,Exposure 2,BP 2229 (center of the building),no,About 5 minutes,05min,Just right,Comfortable,Imperceptible,No,NA,Not at all,Not at all,Agree,Agree,4,NA,NA,NA
26,18.05.21 19:16,18.05.21 19:24,Complete,304,304_NG_2_Blurr_q2,keep,NG,Exposure 2,BP 2229 (center of the building),no,About 30 minutes,30min,Slightly low,Comfortable,Imperceptible,No,NA,Not at all,Not at all,Agree,Agree,NA,"Yes, I would like the following changes:",remove the opaque at the bottom of each window to have a better view on the exterior,I cant see the outside world
27,20.05.21 16:14,20.05.21 16:18,Complete,305,305_G3_1_Blurr_q1,keep,G3,Exposure 1,BP 2229 (center of the building),no,About 5 minutes,05min,Slightly high,Comfortable,Noticeable,Yes,Just acceptable,Slightly,Not at all,Agree,Agree,5,NA,NA,NA
29,20.05.21 16:38,20.05.21 16:46,Complete,305,305_G3_1_Blurr_q2,keep,G3,Exposure 1,BP 2229 (center of the building),no,About 30 minutes,30min,Slightly low,Comfortable,Noticeable,No,NA,Slightly,Not at all,Neither agree nor disagree,Disagree,NA,"Yes, I would like the following changes:",Make me able to see through the window from the bottom and not just the top,Because I cannot really see outside except for the sky
31,20.05.21 16:59,20.05.21 17:09,Complete,305,305_G3_2_Clear_q1,keep,G3,Exposure 2,BP 2243 (end of the corridor),yes,About 5 minutes,05min,Just right,Comfortable,Noticeable,Yes,Just acceptable,Slightly,Not at all,Neither agree nor disagree,Agree,6,NA,NA,NA
33,20.05.21 17:11,20.05.21 17:34,Complete,305,305_G3_2_Clear_q2,keep,G3,Exposure 2,BP 2243 (end of the corridor),yes,About 30 minutes,30min,Slightly low,Comfortable,Imperceptible,No,NA,Slightly,Not at all,Agree,Agree,NA,"Yes, I would like the following changes:",Open the window,To get some fresh air
28,20.05.21 14:10,20.05.21 16:20,Complete,306,306_G3_1_Clear_q1,keep,G3,Exposure 1,BP 2243 (end of the corridor),yes,About 5 minutes,05min,Just right,Comfortable,Imperceptible,No,NA,Not at all,Not at all,Agree,Agree,7,NA,NA,NA
30,20.05.21 16:46,20.05.21 16:55,Complete,306,306_G3_1_Clear_q2,keep,G3,Exposure 1,BP 2243 (end of the corridor),yes,About 30 minutes,30min,Slightly high,Comfortable,Imperceptible,No,NA,Not at all,Slightly,Agree,Agree,NA,"No, I am comfortable and do not require changes",NA,NA
32,20.05.21 17:09,20.05.21 17:12,Complete,306,306_G3_2_Blurr_q1,keep,G3,Exposure 2,BP 2229 (center of the building),no,About 5 minutes,05min,Just right,Comfortable,Noticeable,Yes,Just unacceptable,Slightly,Slightly,Agree,Strongly disagree,0,NA,NA,NA
34,20.05.21 17:32,20.05.21 17:39,Complete,306,306_G3_2_Blurr_q2,keep,G3,Exposure 2,BP 2229 (center of the building),no,About 30 minutes,30min,Slightly low,Uncomfortable,Noticeable,Yes,Just unacceptable,Slightly,Slightly,Neither agree nor disagree,Strongly disagree,NA,"Yes, I would like the following changes:",changing the view,because I feel more comfrtable when I can see outside
36,25.05.21 14:14,25.05.21 14:24,Complete,307,307_NG_1_Clear_q1,keep,NG,Exposure 1,BP 2243 (end of the corridor),yes,About 5 minutes,05min,High,Comfortable,Noticeable,No,NA,Not at all,Not at all,Agree,Strongly agree,8,NA,NA,NA
38,25.05.21 14:45,25.05.21 14:54,Complete,307,307_NG_1_Clear_q2,keep,NG,Exposure 1,BP 2243 (end of the corridor),yes,About 30 minutes,30min,Slightly low,Comfortable,Noticeable,No,NA,Not at all,Not at all,Agree,Neither agree nor disagree,NA,"Yes, I would like the following changes:",I would wash windows,turn the desk in another way
40,25.05.21 15:09,25.05.21 15:12,Complete,307,307_NG_2_Blurr_q1,keep,NG,Exposure 2,BP 2229 (center of the building),no,About 5 minutes,05min,High,Very comfortable,Imperceptible,No,NA,Not at all,Not at all,Strongly agree,Agree,2,NA,NA,NA
42,25.05.21 15:30,25.05.21 15:37,Complete,307,307_NG_2_Blurr_q2,keep,NG,Exposure 2,BP 2229 (center of the building),no,About 30 minutes,30min,High,Comfortable,Imperceptible,No,NA,Not at all,Not at all,Strongly agree,Agree,NA,"No, I am comfortable and do not require changes",NA,NA
35,25.05.21 14:04,25.05.21 14:20,Complete,308,308_NG_1_Blurr_q1,keep,NG,Exposure 1,BP 2229 (center of the building),no,About 5 minutes,05min,Just right,Very comfortable,Imperceptible,No,NA,Not at all,Not at all,Agree,Agree,4,NA,NA,NA
37,25.05.21 14:42,25.05.21 14:51,Complete,308,308_NG_1_Blurr_q2,keep,NG,Exposure 1,BP 2229 (center of the building),no,About 30 minutes,30min,Slightly high,Uncomfortable,Disturbing,Yes,Just acceptable,Slightly,Not at all,Disagree,Neither agree nor disagree,NA,"Yes, I would like the following changes:",The desk should not be facing the windows.,It would be easier on the eyes to be facing a wall to avoid unecessary strain on the eyes.
39,25.05.21 15:06,25.05.21 15:10,Complete,308,308_NG_2_Clear_q1,keep,NG,Exposure 2,BP 2243 (end of the corridor),yes,About 5 minutes,05min,Slightly high,Comfortable,Noticeable,No,NA,Slightly,Not at all,Disagree,Neither agree nor disagree,8,NA,NA,NA
41,25.05.21 15:28,25.05.21 15:36,Complete,308,308_NG_2_Clear_q2,keep,NG,Exposure 2,BP 2243 (end of the corridor),yes,About 30 minutes,30min,Just right,Comfortable,Noticeable,No,NA,Not at all,Not at all,Neither agree nor disagree,Neither agree nor disagree,NA,"No, I am comfortable and do not require changes",NA,NA
44,25.05.21 16:35,25.05.21 16:37,Complete,309,309_G3_1_Clear_q1,keep,G3,Exposure 1,BP 2243 (end of the corridor),yes,About 5 minutes,05min,Slightly low,Very comfortable,Imperceptible,No,NA,Not at all,Not at all,Agree,Strongly agree,6,NA,NA,NA
46,25.05.21 17:03,25.05.21 17:09,Complete,309,309_G3_1_Clear_q2,keep,G3,Exposure 1,BP 2243 (end of the corridor),yes,About 30 minutes,30min,Slightly low,Very comfortable,Imperceptible,No,NA,Slightly,Not at all,Agree,Strongly agree,NA,"No, I am comfortable and do not require changes",NA,NA
48,25.05.21 17:24,25.05.21 17:26,Complete,309,309_G3_2_Blurr_q1,keep,G3,Exposure 2,BP 2229 (center of the building),no,About 5 minutes,05min,Slightly low,Comfortable,Noticeable,No,NA,Moderately,Not at all,Neither agree nor disagree,Strongly agree,6,NA,NA,NA
50,25.05.21 17:44,25.05.21 17:50,Complete,309,309_G3_2_Blurr_q2,keep,G3,Exposure 2,BP 2229 (center of the building),no,About 30 minutes,30min,Slightly low,Comfortable,Noticeable,Yes,Acceptable,Moderately,Not at all,Disagree,Strongly agree,NA,"No, even though I am somewhat uncomfortable",NA,NA
43,25.05.21 16:32,25.05.21 16:35,Complete,310,310_G3_1_Blurr_q1,keep,G3,Exposure 1,BP 2229 (center of the building),no,About 5 minutes,05min,Slightly low,Comfortable,Noticeable,No,NA,Slightly,Not at all,Agree,Agree,8,NA,NA,NA
45,25.05.21 16:58,25.05.21 17:06,Complete,310,310_G3_1_Blurr_q2,keep,G3,Exposure 1,BP 2229 (center of the building),no,About 30 minutes,30min,Slightly low,Uncomfortable,Disturbing,Yes,Just unacceptable,Very much,Not at all,Disagree,Agree,NA,"Yes, I would like the following changes:",less light,not facing the sun
47,25.05.21 17:23,25.05.21 17:25,Complete,310,310_G3_2_Clear_q1,keep,G3,Exposure 2,BP 2243 (end of the corridor),yes,About 5 minutes,05min,Slightly high,Comfortable,Noticeable,No,NA,Moderately,Moderately,Agree,Agree,7,NA,NA,NA
49,25.05.21 17:41,25.05.21 17:47,Complete,310,310_G3_2_Clear_q2,keep,G3,Exposure 2,BP 2243 (end of the corridor),yes,About 30 minutes,30min,Slightly high,Comfortable,Noticeable,No,NA,Slightly,Not at all,Agree,Agree,NA,"No, I am comfortable and do not require changes",NA,NA
52,01.06.21 16:33,01.06.21 16:54,Complete,311,311_G3_1_Blurr_q1,keep,G3,Exposure 1,BP 2229 (center of the building),no,About 5 minutes,05min,Slightly low,Comfortable,Noticeable,No,NA,Not at all,Not at all,Agree,Agree,8,NA,NA,NA
54,01.06.21 17:14,01.06.21 17:24,Complete,311,311_G3_1_Blurr_q2,keep,G3,Exposure 1,BP 2229 (center of the building),no,About 30 minutes,30min,Slightly low,Uncomfortable,Disturbing,Yes,Just acceptable,Moderately,Not at all,Disagree,Agree,NA,"Yes, I would like the following changes:","remove the ""opaque"" at the bottom of each window to have a better view on the exterior",Curtains on the windows so the sunshine isnt so strong on the face
56,01.06.21 17:21,01.06.21 17:41,Complete,311,311_G3_2_Clear_q1,keep,G3,Exposure 2,BP 2243 (end of the corridor),yes,About 5 minutes,05min,Slightly high,Comfortable,Noticeable,Yes,Just acceptable,Slightly,Not at all,Disagree,Neither agree nor disagree,5,NA,NA,NA
58,01.06.21 17:59,01.06.21 18:06,Complete,311,311_G3_2_Clear_q2,keep,G3,Exposure 2,BP 2243 (end of the corridor),yes,About 30 minutes,30min,Slightly high,Very uncomfortable,Intolerable,Yes,Unacceptable,Very much,Slightly,Strongly disagree,Neither agree nor disagree,NA,"Yes, I would like the following changes:",curtains,The light is uncofortable after some time
51,01.06.21 16:47,01.06.21 16:51,Complete,312,312_G3_1_Clear_q1,keep,G3,Exposure 1,BP 2243 (end of the corridor),yes,About 5 minutes,05min,Just right,Comfortable,Noticeable,No,NA,Slightly,Not at all,Agree,Agree,6,NA,NA,NA
53,01.06.21 17:11,01.06.21 17:21,Complete,312,312_G3_1_Clear_q2,keep,G3,Exposure 1,BP 2243 (end of the corridor),yes,About 30 minutes,30min,Just right,Comfortable,Noticeable,No,NA,Slightly,Not at all,Agree,Agree,NA,"Yes, I would like the following changes:",higher chair and desk and both in different position to be able to see the windows by turning the chair and not by peeking over the computer,To feel more connected to the outside. Furthermore i feel like I'm slightly under the window with the current height of the desk. I'm not a fan of it!
55,01.06.21 17:29,01.06.21 17:38,Complete,312,312_G3_2_Blurr_q1,keep,G3,Exposure 2,BP 2229 (center of the building),no,About 5 minutes,05min,Just right,Comfortable,Imperceptible,No,NA,Not at all,Not at all,Agree,Neither agree nor disagree,0,NA,NA,NA
57,01.06.21 17:56,01.06.21 18:03,Complete,312,312_G3_2_Blurr_q2,keep,G3,Exposure 2,BP 2229 (center of the building),no,About 30 minutes,30min,Slightly low,Comfortable,Noticeable,No,NA,Not at all,Not at all,Agree,Agree,NA,I have no preference,NA,NA
60,02.06.21 17:18,02.06.21 17:22,Complete,313,313_NG_1_Clear_q1,keep,NG,Exposure 1,BP 2243 (end of the corridor),yes,About 5 minutes,05min,Just right,Very comfortable,Imperceptible,No,NA,Not at all,Not at all,Strongly agree,Agree,7,NA,NA,NA
62,02.06.21 17:47,02.06.21 17:55,Complete,313,313_NG_1_Clear_q2,keep,NG,Exposure 1,BP 2243 (end of the corridor),yes,About 30 minutes,30min,Just right,Very comfortable,Imperceptible,No,NA,Not at all,Not at all,Strongly agree,Agree,NA,"No, I am comfortable and do not require changes",NA,NA
64,02.06.21 18:06,02.06.21 18:10,Complete,313,313_NG_2_Blurr_q1,keep,NG,Exposure 2,BP 2229 (center of the building),no,About 5 minutes,05min,Just right,Uncomfortable,Imperceptible,No,NA,Not at all,Not at all,Strongly agree,Neither agree nor disagree,3,NA,NA,NA
66,02.06.21 18:30,02.06.21 18:37,Complete,313,313_NG_2_Blurr_q2,keep,NG,Exposure 2,BP 2229 (center of the building),no,About 30 minutes,30min,Just right,Comfortable,Imperceptible,No,NA,Not at all,Not at all,Strongly agree,Agree,NA,"Yes, I would like the following changes:","remove the ""opaque"" at the bottom of each window to have a better view on the exterior",It's boring when we stay a long time
59,02.06.21 17:16,02.06.21 17:21,Complete,314,314_NG_1_Blurr_q1,keep,NG,Exposure 1,BP 2229 (center of the building),no,About 5 minutes,05min,Slightly low,Comfortable,Imperceptible,No,NA,Not at all,Not at all,Neither agree nor disagree,Disagree,1,NA,NA,NA
61,02.06.21 17:44,02.06.21 17:53,Complete,314,314_NG_1_Blurr_q2,keep,NG,Exposure 1,BP 2229 (center of the building),no,About 30 minutes,30min,Slightly low,Comfortable,Imperceptible,No,NA,Not at all,Not at all,Agree,Disagree,NA,"Yes, I would like the following changes:","more sunlight, view on nature","I feel a whole day working in this space would be kind of depressing, due to the lack of sunlight and due to the fact that we can barely see the outside"
63,02.06.21 17:55,02.06.21 18:08,Complete,314,314_NG_2_Clear_q1,keep,NG,Exposure 2,BP 2243 (end of the corridor),yes,About 5 minutes,05min,Slightly low,Comfortable,Imperceptible,No,NA,Not at all,Not at all,Agree,Agree,6,NA,NA,NA
65,02.06.21 18:25,02.06.21 18:33,Complete,314,314_NG_2_Clear_q2,keep,NG,Exposure 2,BP 2243 (end of the corridor),yes,About 30 minutes,30min,Slightly low,Comfortable,Imperceptible,No,NA,Not at all,Not at all,Agree,Agree,NA,"Yes, I would like the following changes:",switch on the light,"because the sky is grey, so there is not enough sunlight coming to the desk"
68,03.06.21 16:45,03.06.21 16:51,Complete,315,315_G1_1_Clear_q1,keep,G1,Exposure 1,BP 2243 (end of the corridor),yes,About 5 minutes,05min,Slightly high,Uncomfortable,Disturbing,Yes,Just unacceptable,Moderately,Not at all,Disagree,Agree,7,NA,NA,NA
73,03.06.21 17:14,03.06.21 17:24,Complete,315,315_G1_1_Clear_q2,keep,G1,Exposure 1,BP 2243 (end of the corridor),yes,About 30 minutes,30min,High,Very uncomfortable,Intolerable,Yes,Unacceptable,Very much,Not at all,Strongly disagree,Neither agree nor disagree,NA,"Yes, I would like the following changes:","put shutters on the windows,",the sun is shining into my exes at this moment and is making it very  hard to focus
69,03.06.21 17:31,03.06.21 17:40,Complete,315,315_G1_2_Blurr_q1,keep,G1,Exposure 2,BP 2229 (center of the building),no,About 5 minutes,05min,Just right,Comfortable,Noticeable,Yes,Acceptable,Slightly,Not at all,Neither agree nor disagree,Strongly disagree,5,NA,NA,NA
70,03.06.21 17:57,03.06.21 18:05,Complete,315,315_G1_2_Blurr_q2,keep,G1,Exposure 2,BP 2229 (center of the building),no,About 30 minutes,30min,Slightly low,Very comfortable,Imperceptible,No,NA,Not at all,Not at all,Strongly agree,Strongly disagree,NA,I have no preference,NA,NA
67,03.06.21 16:40,03.06.21 16:47,Complete,316,316_G1_1_Blurr_q1,keep,G1,Exposure 1,BP 2229 (center of the building),no,About 30 minutes,05min,Slightly high,Uncomfortable,Disturbing,Yes,Just unacceptable,Moderately,Slightly,Disagree,Neither agree nor disagree,NA,"Yes, I would like the following changes:",give some curtains on the window,because it's too shiny
72,03.06.21 17:17,03.06.21 17:26,Complete,316,316_G1_1_Blurr_q2,keep,G1,Exposure 1,BP 2229 (center of the building),no,About 30 minutes,30min,Just right,Uncomfortable,Intolerable,Yes,Unacceptable,Very much,Slightly,Strongly disagree,Neither agree nor disagree,NA,"Yes, I would like the following changes:",close the shutters,Because of the glare
74,03.06.21 17:28,03.06.21 17:43,Complete,316,316_G1_2_Clear_q1,keep,G1,Exposure 2,BP 2243 (end of the corridor),yes,About 5 minutes,05min,High,Uncomfortable,Intolerable,Yes,Unacceptable,Very much,Moderately,Strongly disagree,Neither agree nor disagree,4,NA,NA,NA
71,03.06.21 18:00,03.06.21 18:07,Complete,316,316_G1_2_Clear_q2,keep,G1,Exposure 2,BP 2243 (end of the corridor),yes,About 30 minutes,30min,Just right,Comfortable,Disturbing,No,NA,Slightly,Slightly,Agree,Neither agree nor disagree,NA,"No, even though I am somewhat uncomfortable",NA,NA
75,04.06.21 16:47,04.06.21 16:51,Complete,317,317_G1_1_Clear_q1,keep,G1,Exposure 1,BP 2243 (end of the corridor),yes,About 5 minutes,05min,Slightly high,Comfortable,Noticeable,Yes,Acceptable,Moderately,Not at all,Disagree,Strongly agree,6,NA,NA,NA
